outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"icu"	"model1"	"White"	1		1	1	""	136	"Age-sex-IMD"
"icu"	"model1"	"South Asian"	2.8591755	2.806e-38	2.4384654	3.3524711	""	137	"Age-sex-IMD"
"icu"	"model1"	"Black"	3.6985591	2.227e-35	3.0084387	4.5469896	""	138	"Age-sex-IMD"
"icu"	"model1"	"Mixed"	2.786122	2.826e-08	1.9404527	4.0003427	""	139	"Age-sex-IMD"
"icu"	"model1"	"Other"	3.0166368	6.480e-17	2.3283545	3.9083815	""	140	"Age-sex-IMD"
"icu"	"model2"	"White"	1		1	1	""	141	"+ co-morbidities"
"icu"	"model2"	"South Asian"	2.3569199	1.521e-18	1.9467171	2.8535586	""	142	"+ co-morbidities"
"icu"	"model2"	"Black"	3.1924077	7.009e-22	2.5196557	4.0447855	""	143	"+ co-morbidities"
"icu"	"model2"	"Mixed"	2.714436	1.928e-06	1.7994565	4.0946601	""	144	"+ co-morbidities"
"icu"	"model2"	"Other"	3.3454523	2.838e-14	2.450761	4.5667657	""	145	"+ co-morbidities"
"icu"	"model3"	"White"	1		1	1	""	146	"+ household size"
"icu"	"model3"	"South Asian"	2.2421507	1.257e-15	1.8396695	2.7326863	""	147	"+ household size"
"icu"	"model3"	"Black"	3.1196639	6.316e-21	2.4598796	3.9564144	""	148	"+ household size"
"icu"	"model3"	"Mixed"	2.6680284	2.941e-06	1.7681127	4.025974	""	149	"+ household size"
"icu"	"model3"	"Other"	3.2652688	1.060e-13	2.3900648	4.4609588	""	150	"+ household size"
"cpnsdeath"	"crude"	"White"	1		1	1	""	151	"Crude"
"cpnsdeath"	"crude"	"South Asian"	1.0569611	.1978699	.97148933	1.1499526	""	152	"Crude"
"cpnsdeath"	"crude"	"Black"	1.2017714	.00680093	1.0520006	1.3728648	""	153	"Crude"
"cpnsdeath"	"crude"	"Mixed"	.56618648	.00003741	.43203635	.7419911	""	154	"Crude"
"cpnsdeath"	"crude"	"Other"	.53761352	1.955e-09	.43898216	.65840556	""	155	"Crude"
"cpnsdeath"	"model0"	"White"	1		1	1	""	156	"Age-sex"
