outcome	model	eth5	hh_cat	estimate	p	min95	max95	idstr6	num	adjusted
"tested"	"model1"	"Other"	"6-9"	.9202152	.01829068	.85880732	.98601397	""	235	"Age-sex-IMD"
"tested"	"model1"	"Other"	"10+"	.85868484	2.418e-06	.80598906	.91482589	""	236	"Age-sex-IMD"
"tested"	"model2"	"Other"	"1-2"	1		1	1	""	237	"+ co-morbidities"
"tested"	"model2"	"Other"	"3-5"	1.0756016	.0055645	1.0215868	1.1324724	""	238	"+ co-morbidities"
"tested"	"model2"	"Other"	"6-9"	.91569625	.04622095	.8397381	.99852515	""	239	"+ co-morbidities"
"tested"	"model2"	"Other"	"10+"	1.0714468	.08271743	.99109782	1.1583097	""	240	"+ co-morbidities"
"positivetest"	"crude"	"White"	"1-2"	1		1	1	""	241	"Crude"
"positivetest"	"crude"	"White"	"3-5"	1.003969	.72420796	.9821194	1.0263047	""	242	"Crude"
"positivetest"	"crude"	"White"	"6-9"	1.31728	1.592e-28	1.2546006	1.3830909	""	243	"Crude"
"positivetest"	"crude"	"White"	"10+"	1.9207239	0	1.8755586	1.9669768	""	244	"Crude"
"positivetest"	"model0"	"White"	"1-2"	1		1	1	""	245	"Age-sex"
"positivetest"	"model0"	"White"	"3-5"	1.5040912	4.72e-238	1.4680076	1.5410616	""	246	"Age-sex"
"positivetest"	"model0"	"White"	"6-9"	1.9691421	2.66e-155	1.8730613	2.0701514	""	247	"Age-sex"
"positivetest"	"model0"	"White"	"10+"	2.1102328	0	2.0601014	2.1615842	""	248	"Age-sex"
"positivetest"	"model1"	"White"	"1-2"	1		1	1	""	249	"Age-sex-IMD"
"positivetest"	"model1"	"White"	"3-5"	1.5177806	6.98e-247	1.4812396	1.5552231	""	250	"Age-sex-IMD"
"positivetest"	"model1"	"White"	"6-9"	1.8971401	8.98e-138	1.8041947	1.9948737	""	251	"Age-sex-IMD"
"positivetest"	"model1"	"White"	"10+"	2.1141424	0	2.0637264	2.1657899	""	252	"Age-sex-IMD"
"positivetest"	"model2"	"White"	"1-2"	1		1	1	""	253	"+ co-morbidities"
"positivetest"	"model2"	"White"	"3-5"	1.5157372	1.85e-186	1.4738997	1.5587623	""	254	"+ co-morbidities"
"positivetest"	"model2"	"White"	"6-9"	2.1989658	5.91e-159	2.076108	2.329094	""	255	"+ co-morbidities"
"positivetest"	"model2"	"White"	"10+"	2.2579377	0	2.1981189	2.3193843	""	256	"+ co-morbidities"
"positivetest"	"crude"	"South Asian"	"1-2"	1		1	1	""	257	"Crude"
"positivetest"	"crude"	"South Asian"	"3-5"	1.4058513	1.953e-31	1.3276383	1.4886719	""	258	"Crude"
