outcome	model	eth5	hh_cat	estimate	p	min95	max95	idstr6	num	adjusted
"ae"	"model1"	"Black"	"10+"	.79105802	9.512e-10	.73382935	.85274975	""	364	"Age-sex-IMD"
"ae"	"model2"	"Black"	"1-2"	1		1	1	""	365	"+ co-morbidities"
"ae"	"model2"	"Black"	"3-5"	.99657299	.90361849	.94270962	1.0535139	""	366	"+ co-morbidities"
"ae"	"model2"	"Black"	"6-9"	1.0577801	.18545623	.97338774	1.1494893	""	367	"+ co-morbidities"
"ae"	"model2"	"Black"	"10+"	.86709562	.00236077	.79094378	.95057934	""	368	"+ co-morbidities"
"ae"	"crude"	"Mixed"	"1-2"	1		1	1	""	369	"Crude"
"ae"	"crude"	"Mixed"	"3-5"	.91236458	.00391957	.85724348	.97102999	""	370	"Crude"
"ae"	"crude"	"Mixed"	"6-9"	.84063504	.00202049	.75291035	.9385809	""	371	"Crude"
"ae"	"crude"	"Mixed"	"10+"	.73735841	5.992e-09	.6654179	.81707663	""	372	"Crude"
"ae"	"model0"	"Mixed"	"1-2"	1		1	1	""	373	"Age-sex"
"ae"	"model0"	"Mixed"	"3-5"	.93317578	.03227871	.87592308	.99417068	""	374	"Age-sex"
"ae"	"model0"	"Mixed"	"6-9"	.86648383	.01135494	.77548656	.96815891	""	375	"Age-sex"
"ae"	"model0"	"Mixed"	"10+"	.74886519	4.100e-08	.67536168	.83036853	""	376	"Age-sex"
"ae"	"model1"	"Mixed"	"1-2"	1		1	1	""	377	"Age-sex-IMD"
"ae"	"model1"	"Mixed"	"3-5"	.94161784	.06452349	.88343518	1.0036324	""	378	"Age-sex-IMD"
"ae"	"model1"	"Mixed"	"6-9"	.84628875	.00330193	.75712543	.94595245	""	379	"Age-sex-IMD"
"ae"	"model1"	"Mixed"	"10+"	.75708635	1.521e-07	.68238151	.83996962	""	380	"Age-sex-IMD"
"ae"	"model2"	"Mixed"	"1-2"	1		1	1	""	381	"+ co-morbidities"
"ae"	"model2"	"Mixed"	"3-5"	.95744157	.28535316	.88402001	1.0369611	""	382	"+ co-morbidities"
"ae"	"model2"	"Mixed"	"6-9"	1.000077	.99913941	.86948494	1.1502833	""	383	"+ co-morbidities"
"ae"	"model2"	"Mixed"	"10+"	.9663636	.59392664	.85214759	1.0958883	""	384	"+ co-morbidities"
"ae"	"crude"	"Other"	"1-2"	1		1	1	""	385	"Crude"
"ae"	"crude"	"Other"	"3-5"	1.101597	.00077591	1.0411638	1.165538	""	386	"Crude"
"ae"	"crude"	"Other"	"6-9"	1.0700026	.12829641	.98065409	1.1674918	""	387	"Crude"
"ae"	"crude"	"Other"	"10+"	.7868442	6.127e-08	.72144943	.85816658	""	388	"Crude"
"ae"	"model0"	"Other"	"1-2"	1		1	1	""	389	"Age-sex"
"ae"	"model0"	"Other"	"3-5"	1.1344774	.00001774	1.0709538	1.201769	""	390	"Age-sex"
"ae"	"model0"	"Other"	"6-9"	1.1443749	.00260896	1.048182	1.2493955	""	391	"Age-sex"
"ae"	"model0"	"Other"	"10+"	.83263134	.00004183	.76277988	.90887943	""	392	"Age-sex"
"ae"	"model1"	"Other"	"1-2"	1		1	1	""	393	"Age-sex-IMD"
"ae"	"model1"	"Other"	"3-5"	1.1257716	.00006205	1.0623578	1.1929707	""	394	"Age-sex-IMD"
"ae"	"model1"	"Other"	"6-9"	1.0969999	.03993261	1.0042667	1.1982961	""	395	"Age-sex-IMD"
"ae"	"model1"	"Other"	"10+"	.83431256	.00005618	.76392643	.91118387	""	396	"Age-sex-IMD"
"ae"	"model2"	"Other"	"1-2"	1		1	1	""	397	"+ co-morbidities"
"ae"	"model2"	"Other"	"3-5"	.98997148	.78367739	.92123726	1.063834	""	398	"+ co-morbidities"
"ae"	"model2"	"Other"	"6-9"	1.0436691	.45454803	.93306881	1.1673793	""	399	"+ co-morbidities"
"ae"	"model2"	"Other"	"10+"	1.0081768	.88362253	.90402735	1.1243248	""	400	"+ co-morbidities"
"icu"	"crude"	"White"	"1-2"	1		1	1	""	401	"Crude"
"icu"	"crude"	"White"	"3-5"	.65082833	5.523e-09	.56333016	.75191698	""	402	"Crude"
"icu"	"crude"	"White"	"6-9"	.77785581	.16607469	.54512781	1.1099409	""	403	"Crude"
"icu"	"crude"	"White"	"10+"	.77560518	.00878554	.64134608	.93797002	""	404	"Crude"
"icu"	"model0"	"White"	"1-2"	1		1	1	""	405	"Age-sex"
"icu"	"model0"	"White"	"3-5"	.98959754	.89304648	.84968113	1.1525539	""	406	"Age-sex"
"icu"	"model0"	"White"	"6-9"	1.5169652	.02387475	1.0567357	2.1776339	""	407	"Age-sex"
"icu"	"model0"	"White"	"10+"	.88843004	.22624912	.73351371	1.0760643	""	408	"Age-sex"
"icu"	"model1"	"White"	"1-2"	1		1	1	""	409	"Age-sex-IMD"
"icu"	"model1"	"White"	"3-5"	.99195316	.9173414	.85158143	1.1554633	""	410	"Age-sex-IMD"
"icu"	"model1"	"White"	"6-9"	1.4747808	.03533268	1.0270462	2.1177027	""	411	"Age-sex-IMD"
"icu"	"model1"	"White"	"10+"	.88951652	.23118982	.73437823	1.077428	""	412	"Age-sex-IMD"
"icu"	"model2"	"White"	"1-2"	1		1	1	""	413	"+ co-morbidities"
"icu"	"model2"	"White"	"3-5"	1.0143846	.86536999	.8599994	1.1964847	""	414	"+ co-morbidities"
"icu"	"model2"	"White"	"6-9"	1.6226588	.01771341	1.0876411	2.4208551	""	415	"+ co-morbidities"
"icu"	"model2"	"White"	"10+"	.93383859	.51969759	.75817583	1.1502009	""	416	"+ co-morbidities"
"icu"	"crude"	"South Asian"	"1-2"	1		1	1	""	417	"Crude"
"icu"	"crude"	"South Asian"	"3-5"	1.5096312	.02174591	1.0619343	2.146071	""	418	"Crude"
"icu"	"crude"	"South Asian"	"6-9"	1.3997613	.11323317	.92323905	2.1222366	""	419	"Crude"
"icu"	"crude"	"South Asian"	"10+"	.87517733	.59762833	.53343056	1.435867	""	420	"Crude"
"icu"	"model0"	"South Asian"	"1-2"	1		1	1	""	421	"Age-sex"
"icu"	"model0"	"South Asian"	"3-5"	1.6759195	.00437553	1.1749478	2.3904944	""	422	"Age-sex"
"icu"	"model0"	"South Asian"	"6-9"	1.6567643	.01876166	1.0874504	2.5241317	""	423	"Age-sex"
"icu"	"model0"	"South Asian"	"10+"	.9216131	.74848715	.55955521	1.5179391	""	424	"Age-sex"
"icu"	"model1"	"South Asian"	"1-2"	1		1	1	""	425	"Age-sex-IMD"
"icu"	"model1"	"South Asian"	"3-5"	1.656048	.00538226	1.160914	2.3623584	""	426	"Age-sex-IMD"
"icu"	"model1"	"South Asian"	"6-9"	1.5926412	.03070577	1.0442186	2.4290949	""	427	"Age-sex-IMD"
"icu"	"model1"	"South Asian"	"10+"	.89399086	.65993367	.54268819	1.4727051	""	428	"Age-sex-IMD"
"icu"	"model2"	"South Asian"	"1-2"	1		1	1	""	429	"+ co-morbidities"
"icu"	"model2"	"South Asian"	"3-5"	1.5316401	.04660313	1.0064322	2.3309284	""	430	"+ co-morbidities"
"icu"	"model2"	"South Asian"	"6-9"	1.4476539	.14630748	.87881555	2.384689	""	431	"+ co-morbidities"
"icu"	"model2"	"South Asian"	"10+"	.95545763	.87582333	.53952763	1.6920344	""	432	"+ co-morbidities"
"icu"	"crude"	"Black"	"1-2"	1		1	1	""	433	"Crude"
"icu"	"crude"	"Black"	"3-5"	.97701759	.91267424	.64481722	1.4803627	""	434	"Crude"
"icu"	"crude"	"Black"	"6-9"	1.062549	.83919742	.59135702	1.9091857	""	435	"Crude"
"icu"	"crude"	"Black"	"10+"	.9773088	.94381303	.5162041	1.8503001	""	436	"Crude"
"icu"	"model0"	"Black"	"1-2"	1		1	1	""	437	"Age-sex"
"icu"	"model0"	"Black"	"3-5"	1.2228555	.35076055	.80139715	1.8659608	""	438	"Age-sex"
"icu"	"model0"	"Black"	"6-9"	1.4737176	.20050066	.81387957	2.6685071	""	439	"Age-sex"
"icu"	"model0"	"Black"	"10+"	1.0851172	.80333431	.57051377	2.063893	""	440	"Age-sex"
"icu"	"model1"	"Black"	"1-2"	1		1	1	""	441	"Age-sex-IMD"
"icu"	"model1"	"Black"	"3-5"	1.2013906	.39752285	.78539493	1.8377244	""	442	"Age-sex-IMD"
"icu"	"model1"	"Black"	"6-9"	1.4684818	.20489084	.81074588	2.659821	""	443	"Age-sex-IMD"
"icu"	"model1"	"Black"	"10+"	1.0870729	.79918599	.5713646	2.0682545	""	444	"Age-sex-IMD"
"icu"	"model2"	"Black"	"1-2"	1		1	1	""	445	"+ co-morbidities"
"icu"	"model2"	"Black"	"3-5"	.9690444	.90095643	.59057594	1.590053	""	446	"+ co-morbidities"
"icu"	"model2"	"Black"	"6-9"	1.5848234	.16428066	.82825574	3.0324754	""	447	"+ co-morbidities"
"icu"	"model2"	"Black"	"10+"	1.257574	.52674481	.61849828	2.5569877	""	448	"+ co-morbidities"
"icu"	"crude"	"Mixed"	"1-2"	1		1	1	""	449	"Crude"
"icu"	"crude"	"Mixed"	"3-5"	1.0066629	.98649178	.46667589	2.1714648	""	450	"Crude"
"icu"	"crude"	"Mixed"	"6-9"	.72219345	.66829373	.16297446	3.2002767	""	451	"Crude"
"icu"	"crude"	"Mixed"	"10+"	.80366548	.73291863	.22901819	2.8202047	""	452	"Crude"
"icu"	"model0"	"Mixed"	"1-2"	1		1	1	""	453	"Age-sex"
"icu"	"model0"	"Mixed"	"3-5"	1.200681	.64877233	.54655762	2.637663	""	454	"Age-sex"
"icu"	"model0"	"Mixed"	"6-9"	.87891835	.86608628	.1960996	3.9393118	""	455	"Age-sex"
"icu"	"model0"	"Mixed"	"10+"	.80260903	.73276425	.22716795	2.8357049	""	456	"Age-sex"
"icu"	"model1"	"Mixed"	"1-2"	1		1	1	""	457	"Age-sex-IMD"
"icu"	"model1"	"Mixed"	"3-5"	1.2030795	.64541872	.54736614	2.6443001	""	458	"Age-sex-IMD"
"icu"	"model1"	"Mixed"	"6-9"	.8913748	.88070131	.19855302	4.001697	""	459	"Age-sex-IMD"
"icu"	"model1"	"Mixed"	"10+"	.80028519	.72942725	.22645581	2.8281738	""	460	"Age-sex-IMD"
"icu"	"model2"	"Mixed"	"1-2"	1		1	1	""	461	"+ co-morbidities"
"icu"	"model2"	"Mixed"	"3-5"	1.1664449	.7420103	.46640611	2.9171867	""	462	"+ co-morbidities"
"icu"	"model2"	"Mixed"	"6-9"	1.1342516	.87442383	.23780877	5.4099214	""	463	"+ co-morbidities"
"icu"	"model2"	"Mixed"	"10+"	.80358862	.78048622	.17264215	3.7404229	""	464	"+ co-morbidities"
"icu"	"crude"	"Other"	"1-2"	1		1	1	""	465	"Crude"
"icu"	"crude"	"Other"	"3-5"	.89094581	.67328565	.52088295	1.5239209	""	466	"Crude"
"icu"	"crude"	"Other"	"6-9"	.67806147	.42121953	.26308716	1.7475857	""	467	"Crude"
"icu"	"crude"	"Other"	"10+"	.59295479	.24254382	.24680428	1.424592	""	468	"Crude"
"icu"	"model0"	"Other"	"1-2"	1		1	1	""	469	"Age-sex"
"icu"	"model0"	"Other"	"3-5"	.92144622	.76832174	.53464639	1.5880835	""	470	"Age-sex"
"icu"	"model0"	"Other"	"6-9"	.74666402	.54736741	.28830544	1.9337379	""	471	"Age-sex"
"icu"	"model0"	"Other"	"10+"	.66597341	.36746717	.27511617	1.6121211	""	472	"Age-sex"
"icu"	"model1"	"Other"	"1-2"	1		1	1	""	473	"Age-sex-IMD"
"icu"	"model1"	"Other"	"3-5"	.92510009	.77902276	.53704927	1.5935413	""	474	"Age-sex-IMD"
"icu"	"model1"	"Other"	"6-9"	.70980355	.48058804	.27384088	1.8398315	""	475	"Age-sex-IMD"
"icu"	"model1"	"Other"	"10+"	.68650797	.4045329	.28349429	1.6624433	""	476	"Age-sex-IMD"
"icu"	"model2"	"Other"	"1-2"	1		1	1	""	477	"+ co-morbidities"
"icu"	"model2"	"Other"	"3-5"	1.0868203	.80726942	.5567448	2.1215797	""	478	"+ co-morbidities"
"icu"	"model2"	"Other"	"6-9"	.66840134	.52460016	.19323385	2.312019	""	479	"+ co-morbidities"
"icu"	"model2"	"Other"	"10+"	1.1797081	.73402655	.45472412	3.0605617	""	480	"+ co-morbidities"
"cpnsdeath"	"crude"	"White"	"1-2"	1		1	1	""	481	"Crude"
"cpnsdeath"	"crude"	"White"	"3-5"	.27733962	7.05e-211	.25573298	.30077178	""	482	"Crude"
"cpnsdeath"	"crude"	"White"	"6-9"	.68184499	9.114e-07	.58518703	.79446839	""	483	"Crude"
"cpnsdeath"	"crude"	"White"	"10+"	1.3714692	8.050e-24	1.2896339	1.4584975	""	484	"Crude"
"cpnsdeath"	"model0"	"White"	"1-2"	1		1	1	""	485	"Age-sex"
"cpnsdeath"	"model0"	"White"	"3-5"	1.1838785	.00007881	1.0887145	1.2873608	""	486	"Age-sex"
"cpnsdeath"	"model0"	"White"	"6-9"	2.707976	7.348e-37	2.3215929	3.1586648	""	487	"Age-sex"
"cpnsdeath"	"model0"	"White"	"10+"	1.811699	3.778e-78	1.7023805	1.9280375	""	488	"Age-sex"
"cpnsdeath"	"model1"	"White"	"1-2"	1		1	1	""	489	"Age-sex-IMD"
"cpnsdeath"	"model1"	"White"	"3-5"	1.1725561	.00020069	1.078179	1.2751942	""	490	"Age-sex-IMD"
"cpnsdeath"	"model1"	"White"	"6-9"	2.567782	5.525e-33	2.2001903	2.9967881	""	491	"Age-sex-IMD"
"cpnsdeath"	"model1"	"White"	"10+"	1.7907284	8.998e-75	1.6823758	1.9060595	""	492	"Age-sex-IMD"
"cpnsdeath"	"model2"	"White"	"1-2"	1		1	1	""	493	"+ co-morbidities"
"cpnsdeath"	"model2"	"White"	"3-5"	1.180193	.00032297	1.0782943	1.2917212	""	494	"+ co-morbidities"
"cpnsdeath"	"model2"	"White"	"6-9"	2.6460578	2.359e-31	2.2464048	3.1168123	""	495	"+ co-morbidities"
"cpnsdeath"	"model2"	"White"	"10+"	1.7913033	6.094e-65	1.6749843	1.9157002	""	496	"+ co-morbidities"
"cpnsdeath"	"crude"	"South Asian"	"1-2"	1		1	1	""	497	"Crude"
"cpnsdeath"	"crude"	"South Asian"	"3-5"	.53003183	1.684e-10	.43622304	.64401398	""	498	"Crude"
"cpnsdeath"	"crude"	"South Asian"	"6-9"	.62220498	.00009752	.490101	.78991685	""	499	"Crude"
"cpnsdeath"	"crude"	"South Asian"	"10+"	.63727436	.00041536	.49623398	.81840145	""	500	"Crude"
"cpnsdeath"	"model0"	"South Asian"	"1-2"	1		1	1	""	501	"Age-sex"
"cpnsdeath"	"model0"	"South Asian"	"3-5"	1.0006895	.99454007	.82140663	1.2191033	""	502	"Age-sex"
"cpnsdeath"	"model0"	"South Asian"	"6-9"	1.0932418	.46907644	.85882319	1.3916457	""	503	"Age-sex"
"cpnsdeath"	"model0"	"South Asian"	"10+"	1.0936606	.49028887	.84803051	1.4104368	""	504	"Age-sex"
"cpnsdeath"	"model1"	"South Asian"	"1-2"	1		1	1	""	505	"Age-sex-IMD"
"cpnsdeath"	"model1"	"South Asian"	"3-5"	.99818806	.98569847	.81863876	1.2171173	""	506	"Age-sex-IMD"
"cpnsdeath"	"model1"	"South Asian"	"6-9"	1.0488237	.69971931	.82319171	1.3363002	""	507	"Age-sex-IMD"
"cpnsdeath"	"model1"	"South Asian"	"10+"	1.0618858	.6447817	.82264491	1.3707025	""	508	"Age-sex-IMD"
"cpnsdeath"	"model2"	"South Asian"	"1-2"	1		1	1	""	509	"+ co-morbidities"
"cpnsdeath"	"model2"	"South Asian"	"3-5"	1.0223192	.84074736	.82428754	1.2679272	""	510	"+ co-morbidities"
"cpnsdeath"	"model2"	"South Asian"	"6-9"	1.0244511	.85820659	.78595382	1.3353203	""	511	"+ co-morbidities"
"cpnsdeath"	"model2"	"South Asian"	"10+"	1.1443179	.3349241	.87004568	1.5050513	""	512	"+ co-morbidities"
"cpnsdeath"	"crude"	"Black"	"1-2"	1		1	1	""	513	"Crude"
"cpnsdeath"	"crude"	"Black"	"3-5"	.47341831	3.216e-06	.34558319	.64854108	""	514	"Crude"
"cpnsdeath"	"crude"	"Black"	"6-9"	.39945152	.00081966	.23335714	.68376529	""	515	"Crude"
"cpnsdeath"	"crude"	"Black"	"10+"	1.0721857	.71752332	.73498129	1.5640972	""	516	"Crude"
"cpnsdeath"	"model0"	"Black"	"1-2"	1		1	1	""	517	"Age-sex"
"cpnsdeath"	"model0"	"Black"	"3-5"	.95283036	.76767569	.69150111	1.3129201	""	518	"Age-sex"
"cpnsdeath"	"model0"	"Black"	"6-9"	.9349862	.80849413	.5428951	1.6102543	""	519	"Age-sex"
"cpnsdeath"	"model0"	"Black"	"10+"	1.5882844	.01753711	1.0842514	2.3266258	""	520	"Age-sex"
"cpnsdeath"	"model1"	"Black"	"1-2"	1		1	1	""	521	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Black"	"3-5"	.94890301	.74998492	.68726002	1.3101547	""	522	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Black"	"6-9"	.93901825	.82066823	.54501553	1.6178535	""	523	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Black"	"10+"	1.5988885	.01609534	1.091029	2.3431498	""	524	"Age-sex-IMD"
"cpnsdeath"	"model2"	"Black"	"1-2"	1		1	1	""	525	"+ co-morbidities"
"cpnsdeath"	"model2"	"Black"	"3-5"	1.0426925	.81896598	.72891302	1.4915466	""	526	"+ co-morbidities"
"cpnsdeath"	"model2"	"Black"	"6-9"	1.0213252	.94804938	.54137907	1.9267557	""	527	"+ co-morbidities"
"cpnsdeath"	"model2"	"Black"	"10+"	1.7020331	.01725315	1.0986614	2.6367695	""	528	"+ co-morbidities"
"cpnsdeath"	"crude"	"Mixed"	"1-2"	1		1	1	""	529	"Crude"
"cpnsdeath"	"crude"	"Mixed"	"3-5"	.74391482	.35501353	.39743798	1.3924418	""	530	"Crude"
"cpnsdeath"	"crude"	"Mixed"	"6-9"	.81628082	.70787228	.28230124	2.3602956	""	531	"Crude"
"cpnsdeath"	"crude"	"Mixed"	"10+"	1.3626891	.43123943	.63055444	2.9449028	""	532	"Crude"
"cpnsdeath"	"model0"	"Mixed"	"1-2"	1		1	1	""	533	"Age-sex"
"cpnsdeath"	"model0"	"Mixed"	"3-5"	1.4045123	.3013061	.73754773	2.674613	""	534	"Age-sex"
"cpnsdeath"	"model0"	"Mixed"	"6-9"	1.4024702	.53687511	.47938334	4.1030264	""	535	"Age-sex"
"cpnsdeath"	"model0"	"Mixed"	"10+"	1.6192591	.22961332	.73760696	3.5547388	""	536	"Age-sex"
"cpnsdeath"	"model1"	"Mixed"	"1-2"	1		1	1	""	537	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Mixed"	"3-5"	1.4248907	.28170905	.74780982	2.7150132	""	538	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Mixed"	"6-9"	1.4109477	.53035712	.48138457	4.1355159	""	539	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Mixed"	"10+"	1.6325821	.22284624	.74234075	3.5904324	""	540	"Age-sex-IMD"
"cpnsdeath"	"model2"	"Mixed"	"1-2"	1		1	1	""	541	"+ co-morbidities"
"cpnsdeath"	"model2"	"Mixed"	"3-5"	1.7284136	.14357393	.83021223	3.5983732	""	542	"+ co-morbidities"
"cpnsdeath"	"model2"	"Mixed"	"6-9"	1.7833255	.37527208	.49644713	6.4060193	""	543	"+ co-morbidities"
"cpnsdeath"	"model2"	"Mixed"	"10+"	2.2940447	.087112	.88611318	5.939017	""	544	"+ co-morbidities"
"cpnsdeath"	"crude"	"Other"	"1-2"	1		1	1	""	545	"Crude"
"cpnsdeath"	"crude"	"Other"	"3-5"	.4949198	.00886465	.29226801	.83808559	""	546	"Crude"
"cpnsdeath"	"crude"	"Other"	"6-9"	.81366379	.57226153	.39776826	1.6644082	""	547	"Crude"
"cpnsdeath"	"crude"	"Other"	"10+"	1.3838796	.21893432	.8244172	2.3230021	""	548	"Crude"
"cpnsdeath"	"model0"	"Other"	"1-2"	1		1	1	""	549	"Age-sex"
"cpnsdeath"	"model0"	"Other"	"3-5"	.74073732	.27109668	.43405813	1.2640974	""	550	"Age-sex"
"cpnsdeath"	"model0"	"Other"	"6-9"	1.2528735	.54041201	.6087672	2.5784767	""	551	"Age-sex"
"cpnsdeath"	"model0"	"Other"	"10+"	1.784207	.03131573	1.0532909	3.0223317	""	552	"Age-sex"
"cpnsdeath"	"model1"	"Other"	"1-2"	1		1	1	""	553	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Other"	"3-5"	.74345648	.27711106	.43559333	1.2689072	""	554	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Other"	"6-9"	1.2557511	.53678865	.60963552	2.5866453	""	555	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Other"	"10+"	1.7911721	.03035421	1.0568652	3.0356733	""	556	"Age-sex-IMD"
"cpnsdeath"	"model2"	"Other"	"1-2"	1		1	1	""	557	"+ co-morbidities"
"cpnsdeath"	"model2"	"Other"	"3-5"	.85365469	.5918552	.47871335	1.5222603	""	558	"+ co-morbidities"
"cpnsdeath"	"model2"	"Other"	"6-9"	1.145029	.76272139	.47531943	2.7583377	""	559	"+ co-morbidities"
"cpnsdeath"	"model2"	"Other"	"10+"	2.1735871	.00792154	1.2254754	3.8552229	""	560	"+ co-morbidities"
"onsdeath"	"crude"	"White"	"1-2"	1		1	1	""	561	"Crude"
"onsdeath"	"crude"	"White"	"3-5"	.29274335	0	.2852525	.30043092	""	562	"Crude"
"onsdeath"	"crude"	"White"	"6-9"	.86924251	6.906e-10	.83138643	.90882232	""	563	"Crude"
"onsdeath"	"crude"	"White"	"10+"	1.8320687	0	1.7990613	1.8656817	""	564	"Crude"
"onsdeath"	"model0"	"White"	"1-2"	1		1	1	""	565	"Age-sex"
"onsdeath"	"model0"	"White"	"3-5"	1.314359	1.746e-88	1.2795187	1.3501481	""	566	"Age-sex"
"onsdeath"	"model0"	"White"	"6-9"	3.2716337	0	3.1279849	3.4218793	""	567	"Age-sex"
"onsdeath"	"model0"	"White"	"10+"	2.2646272	0	2.223248	2.3067766	""	568	"Age-sex"
"onsdeath"	"model1"	"White"	"1-2"	1		1	1	""	569	"Age-sex-IMD"
"onsdeath"	"model1"	"White"	"3-5"	1.3090593	8.037e-86	1.2743344	1.3447303	""	570	"Age-sex-IMD"
"onsdeath"	"model1"	"White"	"6-9"	3.1515127	0	3.0126566	3.2967688	""	571	"Age-sex-IMD"
"onsdeath"	"model1"	"White"	"10+"	2.2409096	0	2.1998298	2.2827565	""	572	"Age-sex-IMD"
"onsdeath"	"model2"	"White"	"1-2"	1		1	1	""	573	"+ co-morbidities"
"onsdeath"	"model2"	"White"	"3-5"	1.3300979	5.856e-82	1.2918785	1.3694481	""	574	"+ co-morbidities"
"onsdeath"	"model2"	"White"	"6-9"	3.1001758	0	2.9530973	3.2545796	""	575	"+ co-morbidities"
"onsdeath"	"model2"	"White"	"10+"	2.1624071	0	2.1192226	2.2064716	""	576	"+ co-morbidities"
"onsdeath"	"crude"	"South Asian"	"1-2"	1		1	1	""	577	"Crude"
"onsdeath"	"crude"	"South Asian"	"3-5"	.47745034	4.643e-49	.43269709	.52683237	""	578	"Crude"
"onsdeath"	"crude"	"South Asian"	"6-9"	.58433907	1.607e-18	.51830924	.65878075	""	579	"Crude"
"onsdeath"	"crude"	"South Asian"	"10+"	.62206042	6.494e-14	.5494633	.70424933	""	580	"Crude"
"onsdeath"	"model0"	"South Asian"	"1-2"	1		1	1	""	581	"Age-sex"
"onsdeath"	"model0"	"South Asian"	"3-5"	.95019547	.31547006	.85998765	1.0498656	""	582	"Age-sex"
"onsdeath"	"model0"	"South Asian"	"6-9"	1.0434443	.49246178	.92412675	1.1781674	""	583	"Age-sex"
"onsdeath"	"model0"	"South Asian"	"10+"	1.0569938	.38949056	.93163374	1.1992222	""	584	"Age-sex"
"onsdeath"	"model1"	"South Asian"	"1-2"	1		1	1	""	585	"Age-sex-IMD"
"onsdeath"	"model1"	"South Asian"	"3-5"	.94896176	.30501424	.85857056	1.0488694	""	586	"Age-sex-IMD"
"onsdeath"	"model1"	"South Asian"	"6-9"	1.0177522	.77729029	.90092379	1.1497305	""	587	"Age-sex-IMD"
"onsdeath"	"model1"	"South Asian"	"10+"	1.0416534	.527636	.91775461	1.1822789	""	588	"Age-sex-IMD"
"onsdeath"	"model2"	"South Asian"	"1-2"	1		1	1	""	589	"+ co-morbidities"
"onsdeath"	"model2"	"South Asian"	"3-5"	.991725	.88151735	.88907034	1.1062325	""	590	"+ co-morbidities"
"onsdeath"	"model2"	"South Asian"	"6-9"	1.058806	.4035376	.92595119	1.2107228	""	591	"+ co-morbidities"
"onsdeath"	"model2"	"South Asian"	"10+"	1.1503809	.04473356	1.003299	1.3190249	""	592	"+ co-morbidities"
"onsdeath"	"crude"	"Black"	"1-2"	1		1	1	""	593	"Crude"
"onsdeath"	"crude"	"Black"	"3-5"	.42791071	3.351e-24	.36321169	.50413458	""	594	"Crude"
"onsdeath"	"crude"	"Black"	"6-9"	.39791611	2.638e-11	.30346673	.52176141	""	595	"Crude"
"onsdeath"	"crude"	"Black"	"10+"	1.187037	.06603298	.98870655	1.4251517	""	596	"Crude"
"onsdeath"	"model0"	"Black"	"1-2"	1		1	1	""	597	"Age-sex"
"onsdeath"	"model0"	"Black"	"3-5"	.90449329	.24038885	.76493778	1.0695094	""	598	"Age-sex"
"onsdeath"	"model0"	"Black"	"6-9"	1.0018713	.9893592	.76118115	1.3186692	""	599	"Age-sex"
"onsdeath"	"model0"	"Black"	"10+"	1.6940682	2.220e-08	1.4083798	2.0377082	""	600	"Age-sex"
"onsdeath"	"model1"	"Black"	"1-2"	1		1	1	""	601	"Age-sex-IMD"
"onsdeath"	"model1"	"Black"	"3-5"	.9030965	.23718555	.76267017	1.0693788	""	602	"Age-sex-IMD"
"onsdeath"	"model1"	"Black"	"6-9"	1.0131195	.92599567	.76950918	1.3338517	""	603	"Age-sex-IMD"
"onsdeath"	"model1"	"Black"	"10+"	1.7029376	1.870e-08	1.4145561	2.0501107	""	604	"Age-sex-IMD"
"onsdeath"	"model2"	"Black"	"1-2"	1		1	1	""	605	"+ co-morbidities"
"onsdeath"	"model2"	"Black"	"3-5"	.9680484	.73842606	.80006197	1.1713064	""	606	"+ co-morbidities"
"onsdeath"	"model2"	"Black"	"6-9"	1.3337398	.06175793	.98592682	1.8042534	""	607	"+ co-morbidities"
"onsdeath"	"model2"	"Black"	"10+"	1.8438732	8.436e-09	1.4972789	2.270698	""	608	"+ co-morbidities"
"onsdeath"	"crude"	"Mixed"	"1-2"	1		1	1	""	609	"Crude"
"onsdeath"	"crude"	"Mixed"	"3-5"	.36789071	4.669e-10	.26858996	.50390409	""	610	"Crude"
"onsdeath"	"crude"	"Mixed"	"6-9"	.32370624	.00056097	.17054948	.61440076	""	611	"Crude"
"onsdeath"	"crude"	"Mixed"	"10+"	.9607168	.82245194	.67697736	1.3633791	""	612	"Crude"
"onsdeath"	"model0"	"Mixed"	"1-2"	1		1	1	""	613	"Age-sex"
"onsdeath"	"model0"	"Mixed"	"3-5"	.76545145	.10372135	.55473496	1.0562088	""	614	"Age-sex"
"onsdeath"	"model0"	"Mixed"	"6-9"	.6649193	.21506326	.34880363	1.267526	""	615	"Age-sex"
"onsdeath"	"model0"	"Mixed"	"10+"	1.1744547	.37534806	.82306705	1.6758583	""	616	"Age-sex"
"onsdeath"	"model1"	"Mixed"	"1-2"	1		1	1	""	617	"Age-sex-IMD"
"onsdeath"	"model1"	"Mixed"	"3-5"	.77607207	.12312977	.56226458	1.0711823	""	618	"Age-sex-IMD"
