parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	comorbidity_cat
"1.carehome"	"Care home y/n"	3.8285003	.15569753	33.010536	5.73e-239	3.5351838	4.1461534	"model2"	"positivetest"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"positivetest"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2780371	.03325063	9.4294417	4.123e-21	1.2145007	1.3448973	"crude"	"positivetest"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7198214	.06630917	14.063249	6.388e-45	1.594647	1.8548216	"crude"	"positivetest"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.7650482	.14049678	20.016222	3.978e-89	2.5029474	3.0545955	"crude"	"positivetest"	"2"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"positivetest"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2833656	.0374542	8.5486228	1.246e-17	1.2120168	1.3589146	"model0"	"positivetest"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7558922	.07827911	12.628237	1.475e-36	1.6089798	1.9162189	"model0"	"positivetest"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.8435491	.16482249	18.029453	1.144e-72	2.5381775	3.1856604	"model0"	"positivetest"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"2"	""
"1.male"	"Male"	.89030872	.01802282	-5.7395192	9.495e-09	.85567624	.92634292	"model0"	"positivetest"	"2"	""
"age1"	"Age spline 1"	1.0107836	.00264287	4.1021791	.00004093	1.0056169	1.0159768	"model0"	"positivetest"	"2"	""
"age2"	"Age spline 2"	.96425473	.00931087	-3.7696447	.00016348	.94617737	.98267747	"model0"	"positivetest"	"2"	""
"age3"	"Age spline 3"	1.0991658	.03042431	3.4159458	.00063561	1.0411239	1.1604435	"model0"	"positivetest"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"positivetest"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.127119	.04214228	3.2005034	.00137188	1.0474755	1.2128181	"model2"	"positivetest"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.4235261	.07613378	6.6028472	4.033e-11	1.2818613	1.580847	"model2"	"positivetest"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.3047223	.1552525	12.394978	2.782e-35	2.0196648	2.630013	"model2"	"positivetest"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"2"	""
"1.male"	"Male"	1.0531966	.03011894	1.8123858	.0699266	.99578851	1.1139144	"model2"	"positivetest"	"2"	""
"age1"	"Age spline 1"	.99886328	.00502966	-.2258746	.82129895	.9890538	1.00877	"model2"	"positivetest"	"2"	""
"age2"	"Age spline 2"	.9723136	.01519111	-1.7970733	.07232398	.94299082	1.0025482	"model2"	"positivetest"	"2"	""
"age3"	"Age spline 3"	1.1123451	.04658201	2.5424402	.01100814	1.0246925	1.2074957	"model2"	"positivetest"	"2"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"2"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1436076	.08142157	1.8847361	.05946547	.99465831	1.3148618	"model2"	"positivetest"	"2"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3185432	.08592232	4.2435246	.000022	1.1604493	1.498175	"model2"	"positivetest"	"2"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3321977	.08268048	4.6215777	3.808e-06	1.1796152	1.5045166	"model2"	"positivetest"	"2"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4704642	.09197829	6.1642689	7.081e-10	1.3008025	1.6622547	"model2"	"positivetest"	"2"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0244549	.00270395	9.1538364	5.495e-20	1.0191689	1.0297683	"model2"	"positivetest"	"2"	""
"hba1c_pct"	"HbA1c %"	1.0824189	.01150733	7.449663	9.358e-14	1.0600983	1.1052095	"model2"	"positivetest"	"2"	""
"bp_map"	"Mean Arterial Pressure"	.99940239	.00054564	-1.0949135	.27355455	.99833352	1.0004724	"model2"	"positivetest"	"2"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"2"	""
"2.hh_total_cat"	"Number of people in household"	1.3408022	.05216282	7.5382142	4.765e-14	1.2423656	1.4470383	"model2"	"positivetest"	"2"	""
"3.hh_total_cat"	"Number of people in household"	1.3589588	.05927262	7.0322218	2.033e-12	1.2476136	1.4802411	"model2"	"positivetest"	"2"	""
"4.hh_total_cat"	"Number of people in household"	1.4101599	.11711176	4.1385795	.00003495	1.1983324	1.6594319	"model2"	"positivetest"	"2"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"positivetest"	"2"	""
"1.carehome"	"Care home y/n"	6.5415781	1.1191273	10.978422	4.853e-28	4.6779949	9.1475612	"model2"	"positivetest"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"positivetest"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.9455183	.09394304	13.782796	3.235e-43	1.7698377	2.1386376	"crude"	"positivetest"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.5539581	.23120866	19.491653	1.292e-84	3.1284986	4.0372778	"crude"	"positivetest"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.4728007	.53538024	22.579578	6.88e-113	5.5041137	7.61197	"crude"	"positivetest"	"3"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"positivetest"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.5916999	.08493163	8.7108453	3.016e-18	1.4336458	1.7671789	"model0"	"positivetest"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.7216286	.20233774	13.46747	2.431e-41	2.3525931	3.1485522	"model0"	"positivetest"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.7078757	.44872683	16.254018	2.092e-59	3.9056515	5.6748773	"model0"	"positivetest"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"3"	""
"1.male"	"Male"	.78161754	.03257097	-5.9127058	3.365e-09	.72031702	.84813486	"model0"	"positivetest"	"3"	""
"age1"	"Age spline 1"	1.0639998	.00707642	9.3275181	1.084e-20	1.0502203	1.0779601	"model0"	"positivetest"	"3"	""
"age2"	"Age spline 2"	.85615391	.0184632	-7.201628	5.950e-13	.82072081	.89311677	"model0"	"positivetest"	"3"	""
"age3"	"Age spline 3"	1.4794187	.086145	6.7260228	1.744e-11	1.319856	1.6582717	"model0"	"positivetest"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"positivetest"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.1904024	.08742438	2.3732156	.01763397	1.0308149	1.3746968	"model2"	"positivetest"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7673118	.17073042	5.8947472	3.753e-09	1.4624573	2.1357142	"model2"	"positivetest"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.1584488	.36725244	9.8909405	4.557e-23	2.5147763	3.9668733	"model2"	"positivetest"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"3"	""
"1.male"	"Male"	1.1369561	.0669639	2.1792876	.02931031	1.0130014	1.2760785	"model2"	"positivetest"	"3"	""
"age1"	"Age spline 1"	1.0392744	.01410261	2.8388861	.00452713	1.0119981	1.0672858	"model2"	"positivetest"	"3"	""
"age2"	"Age spline 2"	.89162114	.03380233	-3.0258682	.0024792	.82777133	.96039599	"model2"	"positivetest"	"3"	""
"age3"	"Age spline 3"	1.3791389	.13269649	3.3409856	.00083482	1.1421102	1.6653595	"model2"	"positivetest"	"3"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"3"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.337159	.2135435	1.8193378	.06885991	.97779238	1.828603	"model2"	"positivetest"	"3"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3034969	.19789328	1.7458532	.08083646	.96801693	1.7552422	"model2"	"positivetest"	"3"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3010195	.19042738	1.7978557	.07219988	.97655184	1.7332944	"model2"	"positivetest"	"3"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3559554	.19546985	2.1123307	.0346581	1.0222077	1.7986708	"model2"	"positivetest"	"3"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.042647	.00504022	8.6392588	5.658e-18	1.032815	1.0525726	"model2"	"positivetest"	"3"	""
"hba1c_pct"	"HbA1c %"	1.1035141	.02084693	5.213998	1.848e-07	1.0634021	1.1451392	"model2"	"positivetest"	"3"	""
"bp_map"	"Mean Arterial Pressure"	1.0009623	.00136507	.70525402	.48065217	.99829035	1.0036413	"model2"	"positivetest"	"3"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"3"	""
"2.hh_total_cat"	"Number of people in household"	1.2345861	.07927111	3.2820458	.00103057	1.0885963	1.4001542	"model2"	"positivetest"	"3"	""
"3.hh_total_cat"	"Number of people in household"	1.1115925	.10397032	1.1310873	.25801836	.92540192	1.3352447	"model2"	"positivetest"	"3"	""
"4.hh_total_cat"	"Number of people in household"	1.5241074	.31617642	2.0313735	.04221712	1.0149242	2.2887455	"model2"	"positivetest"	"3"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"positivetest"	"3"	""
"1.carehome"	"Care home y/n"	5.0100297	1.2396756	6.5124872	7.392e-11	3.0847504	8.1369298	"model2"	"positivetest"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"positivetest"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.9620576	.16310586	8.1077063	5.158e-16	1.6670605	2.3092563	"crude"	"positivetest"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.9721674	.37958506	8.5291992	1.474e-17	2.3140012	3.8175344	"crude"	"positivetest"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.1036289	1.000397	11.036373	2.551e-28	4.4266429	8.415923	"crude"	"positivetest"	"4"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"positivetest"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.4656204	.13495764	4.1514902	.00003303	1.2236041	1.7555049	"model0"	"positivetest"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.9121579	.27711374	4.4729744	7.714e-06	1.4393484	2.5402799	"model0"	"positivetest"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.6570048	.67746105	6.9994209	2.570e-12	2.5435498	5.2578819	"model0"	"positivetest"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"4"	""
"1.male"	"Male"	.78230873	.05393847	-3.5607492	.0003698	.68342318	.89550218	"model0"	"positivetest"	"4"	""
"age1"	"Age spline 1"	1.047154	.00993029	4.8587397	1.181e-06	1.0278708	1.066799	"model0"	"positivetest"	"4"	""
"age2"	"Age spline 2"	.91844151	.03065951	-2.5485832	.01081615	.86027362	.98054244	"model0"	"positivetest"	"4"	""
"age3"	"Age spline 3"	1.2304968	.11468162	2.2255281	.02604581	1.0250593	1.4771071	"model0"	"positivetest"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"positivetest"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	.97475252	.1275844	-.19536908	.84510402	.75419116	1.2598165	"model2"	"positivetest"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2855602	.23398646	1.3801044	.16755449	.8998376	1.8366259	"model2"	"positivetest"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.2116125	.50196114	3.4970939	.00047036	1.417474	3.4506663	"model2"	"positivetest"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"4"	""
"1.male"	"Male"	.89240877	.09320119	-1.0899408	.27573924	.72722069	1.0951193	"model2"	"positivetest"	"4"	""
"age1"	"Age spline 1"	1.0423758	.02052731	2.1074946	.03507473	1.0029095	1.0833951	"model2"	"positivetest"	"4"	""
"age2"	"Age spline 2"	.89854244	.05333756	-1.8022435	.0715071	.79985488	1.0094063	"model2"	"positivetest"	"4"	""
"age3"	"Age spline 3"	1.3486621	.20979144	1.922874	.05449588	.99424707	1.8294141	"model2"	"positivetest"	"4"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"4"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3796743	.29446508	1.5079707	.13156203	.90803775	2.0962798	"model2"	"positivetest"	"4"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2826462	.27130666	1.1768345	.23926156	.84734414	1.9415738	"model2"	"positivetest"	"4"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6819233	.33491173	2.6111233	.00902454	1.1384431	2.4848551	"model2"	"positivetest"	"4"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6201783	.32072167	2.437611	.01478467	1.0991668	2.3881524	"model2"	"positivetest"	"4"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0254371	.00855514	3.0108087	.00260553	1.0088057	1.0423427	"model2"	"positivetest"	"4"	""
"hba1c_pct"	"HbA1c %"	1.1579073	.03933593	4.3157959	.0000159	1.083321	1.2376289	"model2"	"positivetest"	"4"	""
"bp_map"	"Mean Arterial Pressure"	1.0037701	.0023306	1.6207026	.10508143	.9992126	1.0083484	"model2"	"positivetest"	"4"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"4"	""
"2.hh_total_cat"	"Number of people in household"	1.3747965	.15598941	2.8053543	.00502613	1.1006722	1.7171919	"model2"	"positivetest"	"4"	""
"3.hh_total_cat"	"Number of people in household"	1.218131	.21897284	1.0976653	.27235068	.85640837	1.7326351	"model2"	"positivetest"	"4"	""
"4.hh_total_cat"	"Number of people in household"	2.6446811	.84132358	3.0571899	.00223423	1.417718	4.9335188	"model2"	"positivetest"	"4"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"positivetest"	"4"	""
"1.carehome"	"Care home y/n"	3.2507755	1.3774786	2.7821254	.00540042	1.4167726	7.4588833	"model2"	"positivetest"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"positivetest"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.2994537	.16496819	11.606418	3.823e-31	1.9978252	2.6466217	"crude"	"positivetest"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	4.2982827	.43198366	14.509398	1.056e-47	3.5297828	5.2340994	"crude"	"positivetest"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	8.1131653	1.0385536	16.354298	4.054e-60	6.3129064	10.426806	"crude"	"positivetest"	"5"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"positivetest"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7433959	.1377927	7.0325951	2.027e-12	1.4932057	2.035506	"model0"	"positivetest"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.0012073	.34761662	9.48853	2.343e-21	2.391691	3.7660572	"model0"	"positivetest"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	5.4092561	.79586902	11.473531	1.792e-30	4.0541466	7.2173146	"model0"	"positivetest"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"5"	""
"1.male"	"Male"	.90123232	.05115343	-1.8321577	.06692793	.80634899	1.0072806	"model0"	"positivetest"	"5"	""
"age1"	"Age spline 1"	1.0969481	.00996739	10.183479	2.350e-24	1.0775853	1.1166588	"model0"	"positivetest"	"5"	""
"age2"	"Age spline 2"	.79698951	.02372119	-7.6238949	2.461e-14	.75182692	.84486504	"model0"	"positivetest"	"5"	""
"age3"	"Age spline 3"	1.7443257	.14152246	6.8574777	7.009e-12	1.4878769	2.0449757	"model0"	"positivetest"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"positivetest"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2559421	.13571049	2.1089866	.03494574	1.0162329	1.5521939	"model2"	"positivetest"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.0149995	.28876965	4.8888337	1.014e-06	1.5215605	2.6684598	"model2"	"positivetest"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.1057585	.56634218	6.2146625	5.144e-10	2.1724467	4.4400333	"model2"	"positivetest"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"5"	""
"1.male"	"Male"	1.0955031	.09104834	1.0974934	.27242578	.93082799	1.2893114	"model2"	"positivetest"	"5"	""
"age1"	"Age spline 1"	1.0364811	.01849536	2.0079972	.04464359	1.0008575	1.0733728	"model2"	"positivetest"	"5"	""
"age2"	"Age spline 2"	.90619347	.04643576	-1.9222744	.05457123	.81960217	1.0019332	"model2"	"positivetest"	"5"	""
"age3"	"Age spline 3"	1.3037196	.17229784	2.0068411	.04476659	1.0062144	1.6891875	"model2"	"positivetest"	"5"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"5"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3732446	.22951554	1.8977389	.05773049	.98965397	1.9055152	"model2"	"positivetest"	"5"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.407549	.22993935	2.0925972	.03638513	1.0219036	1.938729	"model2"	"positivetest"	"5"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4171361	.2230389	2.2151627	.0267489	1.0409825	1.9292108	"model2"	"positivetest"	"5"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3655881	.21887654	1.9440046	.05189489	.9974453	1.8696071	"model2"	"positivetest"	"5"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0275934	.00767927	3.6423612	.00027015	1.012652	1.0427553	"model2"	"positivetest"	"5"	""
"hba1c_pct"	"HbA1c %"	1.1113627	.03754861	3.1251587	.00177709	1.0401526	1.187448	"model2"	"positivetest"	"5"	""
"bp_map"	"Mean Arterial Pressure"	1.0014673	.00180685	.81265889	.41641366	.99793217	1.0050149	"model2"	"positivetest"	"5"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"5"	""
"2.hh_total_cat"	"Number of people in household"	1.4236014	.13583207	3.7016411	.00021421	1.1807869	1.7163478	"model2"	"positivetest"	"5"	""
"3.hh_total_cat"	"Number of people in household"	1.349716	.18274092	2.2150046	.02675975	1.0351336	1.7599016	"model2"	"positivetest"	"5"	""
"4.hh_total_cat"	"Number of people in household"	1.9404275	.49894649	2.5780833	.00993501	1.1722657	3.2119501	"model2"	"positivetest"	"5"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"positivetest"	"5"	""
"1.carehome"	"Care home y/n"	6.6310923	2.1075183	5.9522606	2.645e-09	3.5567475	12.362807	"model2"	"positivetest"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"ae"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.3282509	.00353041	106.79815	0	1.3213494	1.3351884	"crude"	"ae"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.0998049	.00680242	228.99621	0	2.0865146	2.1131798	"crude"	"ae"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.5034625	.01331214	329.95986	0	3.4774681	3.5296512	"crude"	"ae"	"1"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"ae"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.4633813	.004418	126.11626	0	1.4547478	1.4720661	"model0"	"ae"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.2089708	.00866568	202.02323	0	2.1920515	2.2260207	"model0"	"ae"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.4627134	.01595436	269.57351	0	3.4315842	3.494125	"model0"	"ae"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"ae"	"1"	""
"1.male"	"Male"	.94063268	.00203903	-28.233538	2.27e-175	.93664472	.94463761	"model0"	"ae"	"1"	""
"age1"	"Age spline 1"	.99008853	.00031618	-31.191327	1.40e-213	.98946902	.99070844	"model0"	"ae"	"1"	""
"age2"	"Age spline 2"	.96308286	.00104718	-34.595022	3.00e-262	.96103261	.96513748	"model0"	"ae"	"1"	""
"age3"	"Age spline 3"	1.191666	.00348555	59.950751	0	1.184854	1.1985172	"model0"	"ae"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"ae"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2327173	.00532681	48.417434	0	1.222321	1.243202	"model2"	"ae"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7868029	.00922885	112.37694	0	1.768806	1.804983	"model2"	"ae"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.7398152	.01606315	171.91107	0	2.7085122	2.77148	"model2"	"ae"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"ae"	"1"	""
"1.male"	"Male"	.95752048	.00303104	-13.712867	8.503e-43	.95159815	.96347967	"model2"	"ae"	"1"	""
"age1"	"Age spline 1"	.98839581	.00063513	-18.164054	9.940e-74	.98715175	.98964143	"model2"	"ae"	"1"	""
"age2"	"Age spline 2"	.9407387	.00183414	-31.333284	1.64e-215	.93715071	.94434042	"model2"	"ae"	"1"	""
"age3"	"Age spline 3"	1.2860449	.00644353	50.210373	0	1.2734776	1.2987362	"model2"	"ae"	"1"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"ae"	"1"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0956302	.00558374	17.92053	8.155e-72	1.0847408	1.106629	"model2"	"ae"	"1"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1688558	.00596528	30.572069	2.88e-205	1.1572223	1.1806062	"model2"	"ae"	"1"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3070169	.0066319	52.76774	0	1.294083	1.32008	"model2"	"ae"	"1"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.5118538	.00782566	79.853319	0	1.4965934	1.5272699	"model2"	"ae"	"1"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0023016	.0002705	8.5184031	1.618e-17	1.0017715	1.0028319	"model2"	"ae"	"1"	""
"hba1c_pct"	"HbA1c %"	1.0756506	.00150251	52.207625	0	1.0727097	1.0785995	"model2"	"ae"	"1"	""
"bp_map"	"Mean Arterial Pressure"	1.0000683	9.321e-06	7.3226849	2.431e-13	1.00005	1.0000865	"model2"	"ae"	"1"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"ae"	"1"	""
"2.hh_total_cat"	"Number of people in household"	.95466036	.00368298	-12.027175	2.558e-33	.94746907	.96190624	"model2"	"ae"	"1"	""
"3.hh_total_cat"	"Number of people in household"	1.0531945	.00948042	5.7576421	8.530e-09	1.0347762	1.0719407	"model2"	"ae"	"1"	""
"4.hh_total_cat"	"Number of people in household"	1.1509592	.01899799	8.5177414	1.627e-17	1.1143197	1.1888035	"model2"	"ae"	"1"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"ae"	"1"	""
"1.carehome"	"Care home y/n"	1.4048307	.02345376	20.360297	3.763e-92	1.3596061	1.4515596	"model2"	"ae"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"ae"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.555902	.01586242	43.360021	0	1.5251208	1.5873045	"crude"	"ae"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.5797899	.03566637	68.548809	0	2.5108237	2.6506504	"crude"	"ae"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.2557764	.0772988	79.736609	0	4.1069385	4.4100083	"crude"	"ae"	"2"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"ae"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.6035265	.01859473	40.720861	0	1.5674925	1.6403888	"model0"	"ae"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.604216	.04322033	57.671416	0	2.5208686	2.6903191	"model0"	"ae"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.1845754	.08914461	67.192208	0	4.0134525	4.3629945	"model0"	"ae"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"ae"	"2"	""
"1.male"	"Male"	.88486104	.00721073	-15.011008	6.220e-51	.87084053	.89910728	"model0"	"ae"	"2"	""
"age1"	"Age spline 1"	.99386699	.00103277	-5.9201576	3.216e-09	.99184486	.99589325	"model0"	"ae"	"2"	""
"age2"	"Age spline 2"	.99818822	.00382256	-.47354114	.63582716	.99072418	1.0057085	"model0"	"ae"	"2"	""
"age3"	"Age spline 3"	1.0373061	.01126534	3.3726004	.00074462	1.0154598	1.0596224	"model0"	"ae"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"ae"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2713616	.01867314	16.346439	4.612e-60	1.2352847	1.3084922	"model2"	"ae"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.0016269	.03934545	35.303944	5.11e-273	1.9259779	2.0802474	"model2"	"ae"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.155867	.07797444	46.514242	0	3.0066813	3.312455	"model2"	"ae"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"ae"	"2"	""
"1.male"	"Male"	.97348395	.01081063	-2.4199661	.01552195	.95252443	.99490466	"model2"	"ae"	"2"	""
"age1"	"Age spline 1"	.98544296	.00189663	-7.6190635	2.555e-14	.98173263	.98916731	"model2"	"ae"	"2"	""
"age2"	"Age spline 2"	.98785266	.00593439	-2.0344574	.04190549	.97628967	.99955259	"model2"	"ae"	"2"	""
"age3"	"Age spline 3"	1.0986489	.01760178	5.8722547	4.299e-09	1.0646861	1.1336951	"model2"	"ae"	"2"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"ae"	"2"	""
