idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	hh_total_cat
"model2_positivetest_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1450791	.08153461	1.9026051	.05709209	.99592413	1.3165724	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3285457	.08662266	4.3570552	.00001318	1.1691687	1.5096483	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3386563	.08316189	4.6949513	2.667e-06	1.1851943	1.511989	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4864646	.09311735	6.3278801	2.486e-10	1.3147172	1.6806482	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0234814	.00273311	8.6915398	3.576e-18	1.0181386	1.0288523	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"hba1c_pct"	"HbA1c %"	1.066564	.01484159	4.6310243	3.639e-06	1.0378681	1.0960533	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.003682	.00127409	2.8952046	.00378911	1.0011879	1.0061823	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.93796916	.03443497	-1.7443274	.08110201	.87284881	1.0079479	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.52950769	.03292582	-10.224955	1.533e-24	.46875176	.59813834	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.hypertension"	"Diagnosed hypertension"	1.0547753	.03965415	1.4184851	.15604918	.97984897	1.1354311	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"bp_map"	"Mean Arterial Pressure"	.99935397	.00055094	-1.1722192	.24110907	.99827473	1.0004344	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.299024	.09586689	3.544934	.00039271	1.1240851	1.5011881	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2012801	.05729555	3.8449775	.00012056	1.094072	1.3189936	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.dm_type"	"Diabetes Type"	1.0233233	.17868724	.13203655	.89495538	.72674262	1.4409375	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"2.dm_type"	"Diabetes Type"	1.0545187	.04820114	1.1613534	.24549819	.96415443	1.1533523	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"3.dm_type"	"Diabetes Type"	.9779234	.05812231	-.37560621	.70720968	.87039054	1.0987415	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.cancer"	"Cancer"	1.0543076	.08245745	.67618202	.49892508	.90447134	1.2289659	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.chronic_liver_disease"	"Chronic liver disease"	1.7615889	.19998735	4.9875164	6.116e-07	1.4101668	2.2005876	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.stroke"	"Stroke"	1.494101	.11094862	5.4071735	6.403e-08	1.2917296	1.7281773	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.dementia"	"Dementia"	1.5876348	.30388812	2.4149573	.01573705	1.0909948	2.310354	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.other_neuro"	"Neurological disease"	1.1814189	.1559834	1.2627091	.20669373	.91205139	1.5303421	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.egfr60"	"CKD defined by egfr<60"	1.3727259	.08378812	5.190204	2.101e-07	1.217947	1.5471744	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.esrf"	"end stage renal failure"	6.5259168	.77502517	15.794576	3.391e-56	5.1707303	8.2362815	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_2"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.51388585	.08262204	-4.1408034	.00003461	.3749828	.70424208	"model2"	"positivetest"	"eth5"	""	""
"crude_positivetest_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"positivetest"	"eth5"	""	"1"
"crude_positivetest_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.055683	.05044957	1.1339102	.25683222	.9612931	1.1593411	"crude"	"positivetest"	"eth5"	""	"2"
"crude_positivetest_eth5_3"	"3.hh_total_cat"	"Number of people in household"	.84638429	.05766183	-2.4480925	.01436148	.74058955	.96729202	"crude"	"positivetest"	"eth5"	""	"3"
"crude_positivetest_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.4039296	.17943882	2.6544895	.00794285	1.0928277	1.8035948	"crude"	"positivetest"	"eth5"	""	"4"
"model0_positivetest_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"positivetest"	"eth5"	""	"1"
"model0_positivetest_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.2233847	.0601848	4.0983862	.0000416	1.1109332	1.347219	"model0"	"positivetest"	"eth5"	""	"2"
"model0_positivetest_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.0628805	.07394738	.87653324	.38074021	.92739369	1.2181612	"model0"	"positivetest"	"eth5"	""	"3"
"model0_positivetest_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.8989119	.24367845	4.9973078	5.814e-07	1.4766383	2.441943	"model0"	"positivetest"	"eth5"	""	"4"
"model0_positivetest_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_3"	"1.male"	"Male"	.78657707	.03425532	-5.5124072	3.540e-08	.72222342	.85666493	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_3"	"age1"	"Age spline 1"	1.0674176	.00738775	9.4265142	4.239e-21	1.0530356	1.0819959	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_3"	"age2"	"Age spline 2"	.88178859	.01972982	-5.6225342	1.882e-08	.8439545	.92131877	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_3"	"age3"	"Age spline 3"	1.3953193	.08403959	5.5308862	3.186e-08	1.2399554	1.5701501	"model0"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	"1"
"model1_positivetest_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.2153426	.06011284	3.942975	.00008048	1.1030543	1.3390616	"model1"	"positivetest"	"eth5"	""	"2"
"model1_positivetest_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.0464975	.07320956	.64967099	.51590476	.91241182	1.2002881	"model1"	"positivetest"	"eth5"	""	"3"
"model1_positivetest_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.9029933	.24422262	5.0136192	5.342e-07	1.4797809	2.447243	"model1"	"positivetest"	"eth5"	""	"4"
"model1_positivetest_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"1.male"	"Male"	.78362404	.03432474	-5.5664763	2.599e-08	.71915572	.85387158	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"age1"	"Age spline 1"	1.0674028	.00743351	9.3663775	7.506e-21	1.0529324	1.0820721	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"age2"	"Age spline 2"	.88190424	.01985093	-5.5831391	2.362e-08	.84384289	.92168234	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"age3"	"Age spline 3"	1.395081	.08449924	5.4970402	3.862e-08	1.2389183	1.5709278	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.2037845	.13388872	1.6675514	.09540481	.96800013	1.4970009	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2429689	.13053372	2.0711061	.03834889	1.0117403	1.5270437	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2090429	.12204923	1.8804826	.06004234	.99200869	1.4735603	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_3"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3249131	.1313735	2.8374077	.00454815	1.0909011	1.6091236	"model1"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	"1"
"model2_positivetest_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.2224049	.07897406	3.1084076	.00188098	1.0770176	1.3874182	"model2"	"positivetest"	"eth5"	""	"2"
"model2_positivetest_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.0958025	.1031945	.97148275	.33130794	.91111351	1.3179293	"model2"	"positivetest"	"eth5"	""	"3"
"model2_positivetest_eth5_3"	"4.hh_total_cat"	"Number of people in household"	2.6090004	.42106734	5.9419135	2.817e-09	1.9015094	3.5797262	"model2"	"positivetest"	"eth5"	""	"4"
"model2_positivetest_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.male"	"Male"	1.1535108	.07089683	2.3235594	.02014912	1.0225988	1.3011819	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"age1"	"Age spline 1"	1.0402814	.01412979	2.9074786	.00364355	1.0129529	1.0683472	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"age2"	"Age spline 2"	.88930768	.03377485	-3.08888	.00200913	.82551395	.95803124	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"age3"	"Age spline 3"	1.3799209	.13301603	3.3407303	.00083558	1.1423614	1.6668821	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3373754	.2136714	1.8195561	.06882664	.97781688	1.8291491	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3112094	.19920719	1.7834301	.07451632	.97353633	1.7660051	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3118274	.19228974	1.8516725	.06407286	.98425178	1.7484256	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3636339	.19686153	2.1483901	.03168278	1.0275756	1.8095969	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0411602	.00513986	8.1706246	3.068e-16	1.0311348	1.0512831	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"hba1c_pct"	"HbA1c %"	1.0614999	.02632767	2.4063429	.01611313	1.0111327	1.114376	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0039334	.00261714	1.5058856	.13209655	.99881697	1.009076	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.02383	.06761633	.35659605	.72139424	.89952315	1.1653151	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.52365619	.06525832	-5.1911178	2.090e-07	.41017487	.66853392	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.hypertension"	"Diagnosed hypertension"	1.0621521	.07485496	.85558449	.39222765	.92512083	1.2194808	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"bp_map"	"Mean Arterial Pressure"	1.0015695	.00140272	1.1198041	.26279726	.99882403	1.0043226	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.4990589	.19643641	3.0894234	.00200545	1.1595177	1.9380277	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2126603	.11392877	2.0523431	.04013633	1.0087167	1.4578373	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.dm_type"	"Diabetes Type"	.81646902	.23373573	-.70828885	.4787659	.46586585	1.4309305	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"2.dm_type"	"Diabetes Type"	1.2219472	.105684	2.3176072	.02047068	1.0314153	1.4476758	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"3.dm_type"	"Diabetes Type"	.96033769	.10692887	-.3634673	.71625584	.77205259	1.194541	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.cancer"	"Cancer"	1.4046655	.14844678	3.2153224	.00130298	1.1418706	1.7279412	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.chronic_liver_disease"	"Chronic liver disease"	1.1810066	.26136905	.7517366	.45220948	.765372	1.8223512	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.stroke"	"Stroke"	1.4494375	.18115179	2.9698613	.00297934	1.1345292	1.851754	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.dementia"	"Dementia"	2.7071645	.55836293	4.8285259	1.375e-06	1.8069706	4.0558154	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.other_neuro"	"Neurological disease"	1.6556186	.33605613	2.4838737	.01299619	1.1122031	2.4645436	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.egfr60"	"CKD defined by egfr<60"	1.3215582	.12142253	3.0345733	.00240876	1.1037719	1.5823161	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.esrf"	"end stage renal failure"	6.6672793	1.1495062	11.004065	3.653e-28	4.7554641	9.3476917	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_3"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.1684063	.16096191	1.1297801	.2585689	.8919299	1.5305836	"model2"	"positivetest"	"eth5"	""	""
"crude_positivetest_eth5_4"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"positivetest"	"eth5"	""	"1"
"crude_positivetest_eth5_4"	"2.hh_total_cat"	"Number of people in household"	1.3957731	.11213427	4.1505462	.00003317	1.1924238	1.6338006	"crude"	"positivetest"	"eth5"	""	"2"
"crude_positivetest_eth5_4"	"3.hh_total_cat"	"Number of people in household"	1.3216804	.15535093	2.3728333	.01765223	1.0497257	1.664091	"crude"	"positivetest"	"eth5"	""	"3"
"crude_positivetest_eth5_4"	"4.hh_total_cat"	"Number of people in household"	1.9139829	.3845312	3.2312894	.00123233	1.2910002	2.837591	"crude"	"positivetest"	"eth5"	""	"4"
"model0_positivetest_eth5_4"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"positivetest"	"eth5"	""	"1"
"model0_positivetest_eth5_4"	"2.hh_total_cat"	"Number of people in household"	1.6186588	.13319268	5.8527445	4.835e-09	1.3775694	1.9019414	"model0"	"positivetest"	"eth5"	""	"2"
"model0_positivetest_eth5_4"	"3.hh_total_cat"	"Number of people in household"	1.6225665	.19322099	4.0644501	.00004815	1.2848085	2.0491163	"model0"	"positivetest"	"eth5"	""	"3"
"model0_positivetest_eth5_4"	"4.hh_total_cat"	"Number of people in household"	2.604195	.52197852	4.7751704	1.796e-06	1.7581694	3.8573253	"model0"	"positivetest"	"eth5"	""	"4"
"model0_positivetest_eth5_4"	"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_4"	"1.male"	"Male"	.78100186	.05640987	-3.4222072	.00062115	.67790969	.89977163	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_4"	"age1"	"Age spline 1"	1.0473828	.01020671	4.7506039	2.028e-06	1.0275679	1.0675799	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_4"	"age2"	"Age spline 2"	.94588168	.03233935	-1.6273293	.10366718	.88457476	1.0114376	"model0"	"positivetest"	"eth5"	""	""
"model0_positivetest_eth5_4"	"age3"	"Age spline 3"	1.1628619	.11093652	1.5816019	.11374047	.9645481	1.4019496	"model0"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	"1"
"model1_positivetest_eth5_4"	"2.hh_total_cat"	"Number of people in household"	1.6270306	.13482528	5.8740316	4.253e-09	1.383121	1.913953	"model1"	"positivetest"	"eth5"	""	"2"
"model1_positivetest_eth5_4"	"3.hh_total_cat"	"Number of people in household"	1.5740863	.18890785	3.7802746	.00015666	1.2441561	1.9915086	"model1"	"positivetest"	"eth5"	""	"3"
"model1_positivetest_eth5_4"	"4.hh_total_cat"	"Number of people in household"	2.6273563	.52622262	4.8229943	1.414e-06	1.7743334	3.8904756	"model1"	"positivetest"	"eth5"	""	"4"
"model1_positivetest_eth5_4"	"0b.male"	"Male"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"1.male"	"Male"	.76916306	.0560073	-3.604327	.00031296	.66686422	.88715483	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"age1"	"Age spline 1"	1.04696	.01027935	4.6740058	2.954e-06	1.0270054	1.0673022	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"age2"	"Age spline 2"	.94953935	.03270625	-1.5032461	.13277558	.88755218	1.0158557	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"age3"	"Age spline 3"	1.149551	.11041303	1.4510473	.14676668	.95229459	1.3876666	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3218254	.19508092	1.8905352	.05868642	.98980571	1.7652175	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.428502	.20578967	2.4755443	.01330333	1.0771023	1.8945443	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.7326315	.23697046	4.0187538	.00005851	1.3252205	2.2652925	"model1"	"positivetest"	"eth5"	""	""
"model1_positivetest_eth5_4"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6623853	.22678913	3.7255448	.00019489	1.2723524	2.1719806	"model1"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	"1"
"model2_positivetest_eth5_4"	"2.hh_total_cat"	"Number of people in household"	1.3389163	.15295227	2.554894	.01062201	1.070325	1.6749088	"model2"	"positivetest"	"eth5"	""	"2"
"model2_positivetest_eth5_4"	"3.hh_total_cat"	"Number of people in household"	1.1697399	.21137274	.8676307	.38559654	.82087427	1.6668709	"model2"	"positivetest"	"eth5"	""	"3"
"model2_positivetest_eth5_4"	"4.hh_total_cat"	"Number of people in household"	3.5275528	.93430727	4.7595139	1.941e-06	2.0990577	5.9281977	"model2"	"positivetest"	"eth5"	""	"4"
"model2_positivetest_eth5_4"	"0b.male"	"Male"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"1.male"	"Male"	.96079711	.10300657	-.37302682	.70912848	.77870831	1.1854645	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"age1"	"Age spline 1"	1.0431394	.02041569	2.1579857	.03092895	1.0038831	1.0839307	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"age2"	"Age spline 2"	.89932841	.05322006	-1.7930277	.07296849	.80084097	1.0099278	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"age3"	"Age spline 3"	1.3175045	.20498023	1.7723074	.07634355	.97122606	1.7872442	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.4228308	.30394927	1.6507984	.09877975	.93608887	2.1626658	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3249578	.28072153	1.3280688	.18415538	.87469421	2.0070023	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.749418	.34986595	2.7965567	.00516503	1.1821208	2.5889598	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.7103813	.34011933	2.699022	.00695436	1.1583146	2.5255696	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0248491	.00875538	2.8731219	.00406437	1.0078317	1.0421538	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"hba1c_pct"	"HbA1c %"	1.0789125	.05028155	1.6297681	.10315052	.98472937	1.1821036	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0030956	.0042979	.72136948	.47068222	.99470713	1.0115548	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.73410293	.08554926	-2.6524557	.00799086	.58419995	.92247032	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.48034101	.084229	-4.1816282	.00002894	.34063505	.6773451	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"positivetest"	"eth5"	""	""
"model2_positivetest_eth5_4"	"1.hypertension"	"Diagnosed hypertension"	.95726256	.12328862	-.33913024	.73451162	.74370783	1.2321392	"model2"	"positivetest"	"eth5"	""	""
