parm	label	estimate	stderr	dof	t	p	min95	max95	model	outcome	idstr4
"1.ra_sle_psoriasis"	"Autoimmune disease"	.98376055	.07622196	6.325e+08	-.21131537	.83264119	.84515845	1.1450928	"model5"	"hes"	"mi"
"1b.eth5"	"Eth 5 categories"	1	0	0					"model4"	"onsdeath"	"mi"
"2.eth5"	"Eth 5 categories"	.9362231	.01972827	550.49961	-3.127415	.00185671	.89826226	.97578818	"model4"	"onsdeath"	"mi"
"3.eth5"	"Eth 5 categories"	.98780923	.03522981	111.31431	-.3439178	.7315569	.92041074	1.0601431	"model4"	"onsdeath"	"mi"
"4.eth5"	"Eth 5 categories"	.93920918	.05786951	139.60258	-1.0178838	.31049398	.83148957	1.0608839	"model4"	"onsdeath"	"mi"
"5.eth5"	"Eth 5 categories"	.78632203	.03404433	1666.9879	-5.5522631	3.276e-08	.72230453	.85601337	"model4"	"onsdeath"	"mi"
"0b.male"	"Male"	1	0	0					"model4"	"onsdeath"	"mi"
"1.male"	"Male"	1.2817552	.00903765	1.242e+08	35.205023	1.68e-271	1.2641636	1.2995916	"model4"	"onsdeath"	"mi"
"age1"	"Age spline 1"	1.1481389	.00527802	2.539e+09	30.050372	2.16e-198	1.1378407	1.1585304	"model4"	"onsdeath"	"mi"
"age2"	"Age spline 2"	.86094226	.00902887	6.608e+08	-14.277199	3.036e-46	.84342663	.87882165	"model4"	"onsdeath"	"mi"
"age3"	"Age spline 3"	1.4443153	.03517316	4.784e+08	15.096211	1.715e-51	1.3769965	1.5149251	"model4"	"onsdeath"	"mi"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0	0					"model4"	"onsdeath"	"mi"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0992585	.01186626	5.073e+10	8.7668167	1.838e-18	1.0762454	1.1227637	"model4"	"onsdeath"	"mi"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1930079	.01292055	8.145e+08	16.294926	1.072e-59	1.167951	1.2186024	"model4"	"onsdeath"	"mi"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3173925	.01454377	31883498	24.969118	1.33e-137	1.2891934	1.3462083	"model4"	"onsdeath"	"mi"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4660445	.01680599	2024532	33.372725	3.98e-244	1.4334726	1.4993565	"model4"	"onsdeath"	"mi"
