parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"age2"	"Age spline 2"	.90184301	.00470587	-19.799479	3.008e-87	.89266668	.91111367	"model1"	"confirmed"	""
"age3"	"Age spline 3"	1.3835019	.01974606	22.744253	1.64e-114	1.3453366	1.4227499	"model1"	"confirmed"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"confirmed"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1344844	.02011425	7.1167094	1.105e-12	1.0957383	1.1746006	"model1"	"confirmed"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2708156	.02219913	13.719559	7.754e-43	1.2280425	1.3150786	"model1"	"confirmed"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4422305	.02451154	21.546251	5.74e-103	1.3949802	1.4910814	"model1"	"confirmed"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6618717	.02851701	29.601224	1.44e-192	1.6069088	1.7187145	"model1"	"confirmed"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"confirmed"	""
"2.eth5"	"Eth 5 categories"	2.499895	.04163525	55.014102	0	2.4196089	2.5828451	"model2"	"confirmed"	""
"3.eth5"	"Eth 5 categories"	1.6381411	.04923348	16.422247	1.326e-60	1.5444323	1.7375356	"model2"	"confirmed"	""
"4.eth5"	"Eth 5 categories"	1.5415026	.07081794	9.4198884	4.516e-21	1.4087676	1.686744	"model2"	"confirmed"	""
"5.eth5"	"Eth 5 categories"	1.3434716	.05216474	7.6041669	2.867e-14	1.2450241	1.4497036	"model2"	"confirmed"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"confirmed"	""
"1.male"	"Male"	.89568576	.00992554	-9.9414084	2.749e-23	.8764418	.91535225	"model2"	"confirmed"	""
"age1"	"Age spline 1"	1.0390791	.0021565	18.471044	3.532e-76	1.034861	1.0433143	"model2"	"confirmed"	""
"age2"	"Age spline 2"	.8752234	.00541907	-21.525171	9.05e-103	.8646664	.88590928	"model2"	"confirmed"	""
